t,h
1126259461.8613,-2.073135714285714e-23
1126259461.8614,-1.6428309523809526e-23
1126259461.8615,-1.2122333333333332e-23
1126259461.8616,-7.813428571428571e-24
1126259461.8617,-3.503547619047618e-24
1126259461.8618,8.063333333333333e-25
1126259461.8619,5.1162142857142845e-24
1126259461.862,9.426095238095236e-24
1126259461.8621,1.373402380952381e-23
1126259461.8622,1.803902380952381e-23
1126259461.8623,2.2342071428571427e-23
1126259461.8624,2.6642190476190477e-23
1126259461.8625,3.0937428571428565e-23
1126259461.8625998,3.5227785714285715e-23
1126259461.8627,3.9513261904761904e-23
1126259461.8628,4.379288095238094e-23
1126259461.8629,4.8065666666666667e-23
1126259461.863,5.2331619047619045e-23
1126259461.8631,5.658976190476189e-23
1126259461.8632,6.083911904761904e-23
1126259461.8632998,6.507969047619048e-23
1126259461.8634,6.931049999999997e-23
1126259461.8635,7.353154761904764e-23
1126259461.8636,7.774088095238093e-23
1126259461.8637,8.193849999999998e-23
1126259461.8638,8.612440476190474e-23
1126259461.8639,9.029664285714285e-23
1126259461.8639998,9.445619047619049e-23
1126259461.8641,9.8600119047619e-23
1126259461.8642,1.0273038095238094e-22
1126259461.8643,1.0684404761904762e-22
1126259461.8644,1.1094111904761904e-22
1126259461.8645,1.1502061904761903e-22
1126259461.8646,1.190825476190476e-22
1126259461.8646998,1.2312592857142855e-22
1126259461.8648,1.2714880952380951e-22
1126259461.8649,1.3115216666666665e-22
1126259461.865,1.3513502380952378e-22
1126259461.8651,1.3909542857142856e-22
1126259461.8652,1.4303435714285708e-22
1126259461.8653,1.4695083333333329e-22
1126259461.8653998,1.5084290476190473e-22
1126259461.8655,1.5471154761904758e-22
1126259461.8656,1.585557857142857e-22
1126259461.8657,1.623736666666667e-22
1126259461.8658,1.6616616666666669e-22
1126259461.8659,1.6993133333333333e-22
1126259461.8660002,1.7367014285714282e-22
1126259461.8660998,1.7738064285714285e-22
1126259461.8662,1.8106283333333334e-22
1126259461.8663,1.8471671428571429e-22
1126259461.8664,1.8834033333333331e-22
1126259461.8665,1.9193369047619048e-22
1126259461.8666,1.954958095238095e-22
1126259461.8667,1.9902766666666665e-22
1126259461.8668,2.025263333333333e-22
1126259461.8669,2.059937619047619e-22
1126259461.8669999,2.0942799999999994e-22
1126259461.8671,2.128280714285714e-22
1126259461.8672,2.1619495238095236e-22
1126259461.8673,2.1952669047619043e-22
1126259461.8674,2.2282328571428568e-22
1126259461.8675,2.2608473809523804e-22
1126259461.8676,2.293100714285714e-22
1126259461.8677,2.3249830952380945e-22
1126259461.8678,2.356494523809524e-22
1126259461.8679,2.387625238095238e-22
1126259461.868,2.4183752380952375e-22
1126259461.8681,2.4487445238095236e-22
1126259461.8682,2.478713571428571e-22
1126259461.8683,2.508292142857143e-22
1126259461.8684,2.5374607142857144e-22
1126259461.8685,2.5662290476190475e-22
1126259461.8686,2.594577619047619e-22
1126259461.8687,2.6225064285714285e-22
1126259461.8688,2.650025238095238e-22
1126259461.8689,2.677104761904761e-22
1126259461.869,2.703754761904762e-22
1126259461.8691,2.729975238095238e-22
1126259461.8692,2.7557466666666664e-22
1126259461.8693,2.781078809523809e-22
1126259461.8694,2.805961904761904e-22
1126259461.8695,2.8303861904761883e-22
1126259461.8696,2.8543516666666666e-22
1126259461.8697,2.8778583333333314e-22
